BEST CASE: 
Comparisons: 1
Time: 1000.0 nanoseconds 
 
WORST CASE: 
Leftmost Target: 
  Loop: 8
  Time: 2100.0 nanoseconds 
Rightmost Target: 
  Loop: 9
  Time: 1500.0 nanoseconds 
Left Beside Middle: 
  Loop: 9
  Time: 1500.0 nanoseconds 
Right Beside Middle: 
  Loop: 8
  Time: 1700.0 nanoseconds 
 
AVERAGE CASE: 
Index 409 (target 942706263): Comparisons = 9, Time = 400 ns
Index 410 (target 945655499): Comparisons = 7, Time = 600 ns
Index 411 (target 946025692): Comparisons = 9, Time = 500 ns
Index 412 (target 946599969): Comparisons = 8, Time = 300 ns
Index 413 (target 948269019): Comparisons = 9, Time = 400 ns
Index 414 (target 951881281): Comparisons = 6, Time = 200 ns
Index 415 (target 954542269): Comparisons = 8, Time = 300 ns
Index 416 (target 965950735): Comparisons = 9, Time = 400 ns
Index 417 (target 967067634): Comparisons = 7, Time = 300 ns
Index 418 (target 968125152): Comparisons = 9, Time = 400 ns
Index 419 (target 978175520): Comparisons = 8, Time = 300 ns
Index 420 (target 979522095): Comparisons = 9, Time = 400 ns
Index 421 (target 979809382): Comparisons = 5, Time = 200 ns
Index 422 (target 980923497): Comparisons = 8, Time = 500 ns
Index 423 (target 981493955): Comparisons = 9, Time = 600 ns
Index 424 (target 981763608): Comparisons = 7, Time = 600 ns
Index 425 (target 983321322): Comparisons = 9, Time = 400 ns
Index 426 (target 985534767): Comparisons = 8, Time = 400 ns
Index 427 (target 986522920): Comparisons = 9, Time = 400 ns
Index 428 (target 988510752): Comparisons = 6, Time = 300 ns
Index 429 (target 993277916): Comparisons = 8, Time = 400 ns
Index 430 (target 995033955): Comparisons = 9, Time = 400 ns
