BEST CASE: 
Comparisons: 1
Time: 1000.0 nanoseconds 
 
WORST CASE: 
Leftmost Target: 
  Loop: 9
  Time: 2400.0 nanoseconds 
Rightmost Target: 
  Loop: 10
  Time: 1700.0 nanoseconds 
Left Beside Middle: 
  Loop: 10
  Time: 1300.0 nanoseconds 
Right Beside Middle: 
  Loop: 9
  Time: 1200.0 nanoseconds 
 
AVERAGE CASE: 
i:465 972999281: Loop = 9, Time = 400 ns
i:466 975198794: Loop = 10, Time = 600 ns
i:467 979792815: Loop = 5, Time = 200 ns
i:468 981374350: Loop = 10, Time = 700 ns
i:469 981552853: Loop = 9, Time = 400 ns
i:470 982579351: Loop = 10, Time = 500 ns
i:471 984079088: Loop = 8, Time = 400 ns
i:472 986203476: Loop = 10, Time = 500 ns
i:473 989238010: Loop = 9, Time = 400 ns
i:474 989494946: Loop = 10, Time = 500 ns
i:475 990168969: Loop = 7, Time = 300 ns
i:476 990793745: Loop = 10, Time = 400 ns
i:477 994853306: Loop = 9, Time = 400 ns
i:478 996904355: Loop = 10, Time = 500 ns
i:479 998043707: Loop = 8, Time = 400 ns
i:480 1000643020: Loop = 10, Time = 500 ns
i:481 1000691058: Loop = 9, Time = 400 ns
i:482 1001126996: Loop = 10, Time = 400 ns
i:483 1003423932: Loop = 6, Time = 200 ns
i:484 1003629448: Loop = 10, Time = 500 ns
i:485 1005278500: Loop = 9, Time = 400 ns
i:486 1006931485: Loop = 10, Time = 400 ns
i:487 1008741318: Loop = 8, Time = 400 ns
i:488 1010491000: Loop = 10, Time = 600 ns
i:489 1016781755: Loop = 9, Time = 400 ns
i:490 1017072083: Loop = 10, Time = 400 ns
i:491 1019004436: Loop = 7, Time = 300 ns
i:492 1020137179: Loop = 10, Time = 400 ns
i:493 1021483811: Loop = 9, Time = 400 ns
i:494 1023799726: Loop = 10, Time = 400 ns
i:495 1025219861: Loop = 8, Time = 300 ns
i:496 1025900554: Loop = 10, Time = 500 ns
i:497 1026840239: Loop = 9, Time = 400 ns
i:498 1027215179: Loop = 10, Time = 400 ns
i:499 1027377159: Loop = 1, Time = 0 ns
i:500 1032214287: Loop = 9, Time = 1100 ns
i:501 1033745259: Loop = 10, Time = 400 ns
i:502 1034361878: Loop = 8, Time = 300 ns
i:503 1035136809: Loop = 10, Time = 500 ns
i:504 1039534314: Loop = 9, Time = 400 ns
i:505 1044545944: Loop = 10, Time = 400 ns
i:506 1047984125: Loop = 7, Time = 200 ns
i:507 1051822767: Loop = 10, Time = 400 ns
i:508 1053490044: Loop = 9, Time = 400 ns
i:509 1055266280: Loop = 10, Time = 900 ns
i:510 1063297317: Loop = 8, Time = 400 ns
i:511 1065802112: Loop = 10, Time = 500 ns
i:512 1069574639: Loop = 9, Time = 700 ns
i:513 1070613823: Loop = 10, Time = 500 ns
i:514 1077745531: Loop = 6, Time = 200 ns
i:515 1080385112: Loop = 10, Time = 600 ns
i:516 1080631017: Loop = 9, Time = 400 ns
i:517 1081584342: Loop = 10, Time = 400 ns
i:518 1083898771: Loop = 8, Time = 300 ns
